held_out_dataset,n,disease_prevalence,roc_auc,pr_auc,balanced_accuracy,sensitivity,specificity
Cleveland,304,0.45723684210526316,0.8640941792020929,0.8630443269503425,0.7763897972531066,0.6618705035971223,0.8909090909090909
Hungary,293,0.36177474402730375,0.8862375138734739,0.8432427616520249,0.7936888305922711,0.7264150943396226,0.8609625668449198
Switzerland,123,0.9349593495934959,0.75,0.9743241318848637,0.6559782608695652,0.6869565217391305,0.625
VA Long Beach,200,0.745,0.7123305698118173,0.8627637046025485,0.593893933412291,0.9328859060402684,0.2549019607843137
