model,cv_roc_auc_mean,cv_roc_auc_sd,cv_pr_auc_mean,cv_pr_auc_sd,cv_balanced_accuracy_mean,cv_f1_mean,cv_recall_mean,cv_precision_mean,cv_brier_mean,holdout_roc_auc,holdout_pr_auc,holdout_balanced_accuracy,holdout_accuracy,holdout_sensitivity,holdout_specificity,holdout_precision,holdout_f1,holdout_brier,tn,fp,fn,tp
Dummy baseline,0.5,0.0,0.5529876815591102,0.002688092205552067,0.5,0.712155926173893,1.0,0.5529876815591102,0.2471963636805466,0.5,0.5543478260869565,0.5,0.5543478260869565,1.0,0.0,0.5543478260869565,0.7132867132867133,0.24704815985349715,0,82,0,102
Logistic regression,0.8843599149019201,0.025085421379715644,0.8934971693942341,0.029798225253628442,0.8041314752696866,0.8197123361262729,0.805931948208371,0.8344137091454165,0.13677563919819666,0.892754662840746,0.9051155356980098,0.8116929698708751,0.8097826086956522,0.7941176470588235,0.8292682926829268,0.8526315789473684,0.8223350253807107,0.12855422526011065,68,14,21,81
Random forest,0.8785254251920918,0.03388513203063176,0.8809821820871371,0.04151698050807147,0.7970605997435266,0.8170994934003064,0.8131887985546522,0.8217106370402989,0.13935450808668576,0.8848637015781923,0.8887596821418611,0.8155188904830225,0.8206521739130435,0.8627450980392157,0.7682926829268293,0.822429906542056,0.8421052631578947,0.13456621197980503,63,19,14,88
Gradient boosting,0.8789237661866389,0.035590863656811265,0.8855298387131576,0.04247963866070873,0.8008930455271919,0.8246964422459093,0.8328816621499548,0.8170560938074338,0.1392810934870995,0.8865973218555714,0.8839316804769303,0.8375179340028694,0.842391304347826,0.8823529411764706,0.7926829268292683,0.8411214953271028,0.861244019138756,0.13017390552234834,65,17,12,90
